priority,keyword,page,position,impressions,clicks,intent,commercial_potential,volume,keyword_difficulty,score,recommendation,content_type,confidence,reason,next_action,approval_status
High,best removal companies uk,,8,3192,21,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 3,192 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best cities to live in netherlands,,6,1521,20,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,521 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,moving services uk,,8,2784,16,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,784 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best international moving companies uk,,6,1850,16,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,850 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best neighborhoods in edinburgh,,6,7475,15,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 7,475 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,removal van costs,,7,2542,15,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,542 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best places to live in leeds,,8,2041,14,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,041 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,long distance removal costs uk,,9,2343,12,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,343 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best places to live in germany,,7,2200,12,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,200 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best places to live in greece,,6,2140,12,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,140 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,storage cost per month,,6,1840,12,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,840 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best moving companies uk,,10,1028,12,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,028 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,moving service uk,,7,1489,10,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,489 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,moving cost calculator,,10,1126,10,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,126 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,how much do movers cost,,7,1814,9,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,814 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,storage costs per month uk,,7,5244,8,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 5,244 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,removal and storage companies near me,,9,2354,8,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,354 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,storage unit cost per month,,6,1449,8,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,449 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,best removal companies birmingham,,6,1255,8,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,255 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,cost of living in south africa,,7,201418,7,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 201,418 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,how much does storage cost,,9,4771,7,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 4,771 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,how much does self storage cost,,8,4610,7,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 4,610 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,average removal costs 3 bed house uk,,6,1054,7,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,054 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,how much does house removal cost,,7,1008,7,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,008 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,home removal companies near me,,9,3293,6,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 3,293 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,how much does a storage unit cost,,8,2973,6,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,973 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,average removal costs uk,,8,2386,6,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 2,386 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,uk moving services,,6,1591,6,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,591 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,cost of storage unit,,8,1934,5,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,934 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,south africa cost of living,,6,1589,5,BOFU,High,not_available,not_available,68,Create New Content,New Landing Page,78,"No existing page targets this keyword. 1,589 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 68/100.",N/A,needs_review
High,pickfords removal costs calculator,,1,721,98,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 721 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,removals quote calculator uk,,1,799,89,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 799 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,cost of removals uk,,4,581,45,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 581 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,house removal costs uk,,5,716,37,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 716 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best places to emigrate to from uk,,2,934,33,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 934 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,house removal costs calculator,,2,905,28,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 905 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best area to live in edinburgh,,1,508,20,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 508 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best country to emigrate to from uk,,2,757,19,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 757 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best place to live in uk,,2,521,19,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 521 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,how much does a removal company cost uk,,3,917,17,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 917 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best countries to emigrate to from uk,,2,595,16,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 595 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best places to live in sweden,,4,918,15,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 918 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best city to live in italy,,4,862,14,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 862 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,removal costs scotland,,2,900,13,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 900 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,house move quotes,,5,716,13,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 716 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,removal and storage costs,,5,955,10,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 955 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,how much are removal costs,,3,690,10,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 690 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best cities to live in switzerland,,5,686,9,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 686 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best place to live in netherlands,,4,645,9,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 645 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best areas in edinburgh,,2,633,9,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 633 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best city to live in switzerland,,4,912,8,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 912 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best cities to live in the netherlands,,5,727,8,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 727 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best place to live in sweden,,5,677,8,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 677 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best countries to move to from uk with family,,3,520,8,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 520 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,best place to live in france,,3,807,7,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 807 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,house movers cost,,5,713,6,BOFU,High,not_available,not_available,67,Create New Content,New Landing Page,78,No existing page targets this keyword. 713 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 67/100.,N/A,needs_review
High,removals cost,,6,715,27,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 715 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,online removal quote,,9,917,19,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 917 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,cost of house removals,,9,643,19,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 643 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,removal cost,,9,836,17,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 836 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,pickfords reviews,,6,505,15,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 505 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,house removal cost,,7,571,13,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 571 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,removal quote online,,10,673,12,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 673 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,top 10 removal companies uk,,7,991,10,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 991 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,removal services manchester,,6,892,10,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 892 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,removal company cost,,7,579,9,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 579 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,removal van cost,,8,999,8,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 999 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,best cities to live in germany,,8,538,8,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 538 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,how much does removals cost,,7,965,7,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 965 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,how much do removals cost uk,,6,811,7,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 811 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,house removal quote,,9,802,7,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 802 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,average removal costs,,9,637,7,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 637 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,best removal companies sheffield,,7,747,6,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 747 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
High,removal firm costs,,10,564,6,BOFU,High,not_available,not_available,65,Create New Content,New Landing Page,78,No existing page targets this keyword. 564 monthly impressions going uncaptured. Create a New Landing Page to capture this demand. BOFU intent with high commercial potential. Score: 65/100.,N/A,needs_review
